------------------------------------------------------------
 Ids vs Vds
------------------------------------------------------------
Vds (V) (#1), Ids (A) (#1)
                 9.8,          2.50886e-10
                 9.9,          2.50886e-10
                  10,          2.50886e-10

------------------------------------------------------------
 Gds vs Vds
------------------------------------------------------------
Vds (V) (#5), Gds (S) (#5)
                   0,          9.70301e-09
                 0.1,          2.02846e-10
                 0.2,          4.23952e-12
                 0.3,          8.86055e-14
                 0.4,          1.85117e-15
                 0.5,          3.73705e-17
                 0.6,                   -0
                 0.7,         -1.33466e-18
                 0.8,         -1.33466e-18
                 0.9,         -1.33466e-18
                   1,         -1.33466e-18
                 1.1,         -1.33466e-18
                 1.2,         -1.33466e-18
                 1.3,         -1.33466e-18
                 1.4,         -1.33466e-18
                 1.5,         -1.33466e-18
                 1.6,         -1.33466e-18
                 1.7,         -1.33466e-18
                 1.8,         -1.33466e-18
                 1.9,         -1.33466e-18
                   2,         -1.33466e-18
                 2.1,         -1.33466e-18
